OBJECTID,COUNTRY,year,literacy,,,,,,,
19622,Brunei,1950,27.5,,,,,,,
19624,Brunei,1960,42.6,,,,,,,
19634,Brunei,1970,63.8999999999999,,,,,,,
19644,Brunei,1980,77.7999999999999,,,,,,,
2844,Brunei,1990,87.7999999999999,,,,,,,
3623,Brunei,1995,88.2,,,,,,,
10943,Brunei,2000,92.7,,,,,,,
12583,Brunei,2010,95.2,,,,,,,
5498,Bulgaria,1900,29.6,,,,,,,
5768,Bulgaria,1905,34.5,,,,,,,
6046,Bulgaria,1910,42.2,,,,,,,
6600,Bulgaria,1920,53.2999999999999,,,,,,,
6912,Bulgaria,1925,60.2999999999999,,,,,,,
7549,Bulgaria,1935,68.5999999999999,,,,,,,
8204,Bulgaria,1945,75.7999999999999,,,,,,,
8573,Bulgaria,1950,77.5,,,,,,,
8986,Bulgaria,1955,85.7,,,,,,,
4861,Bulgaria,1965,90.5999999999999,,,,,,,
1398,Bulgaria,1980,93.0999999999999,,,,,,,
2845,Bulgaria,1990,95.2,,,,,,,
10944,Bulgaria,2000,98.2,,,,,,,
12584,Bulgaria,2010,98.5,,,,,,,
689,Burkina,1975,8.69999999999999,,,,,,,
1399,Burkina,1980,11.4,,,,,,,
2846,Burkina,1990,13.6,,,,,,,
3625,Burkina,1995,12.8,,,,,,,
10945,Burkina,2000,21.8,,,,,,,
11765,Burkina,2005,23.6,,,,,,,
12585,Burkina,2010,28.6999999999999,,,,,,,
19660,Burundi,1960,13.9,,,,,,,
1401,Burundi,1980,22.5,,,,,,,
2848,Burundi,1990,37.3999999999999,,,,,,,
3627,Burundi,1995,35.2999999999999,,,,,,,
10947,Burundi,2000,59.2999999999999,,,,,,,
12587,Burundi,2010,67.2,,,,,,,
19664,Cambodia,1950,17.5,,,,,,,
10948,Cambodia,2000,67.2999999999999,,,,,,,
11768,Cambodia,2005,73.5999999999999,,,,,,,
12588,Cambodia,2010,73.9,,,,,,,
19676,Cameroon,1950,7.5,,,,,,,
4273,Cameroon,1960,18.8999999999999,,,,,,,
693,Cameroon,1975,41.2,,,,,,,
1403,Cameroon,1980,44,,,,,,,
2850,Cameroon,1990,57,,,,,,,
3629,Cameroon,1995,63.3999999999999,,,,,,,
10949,Cameroon,2000,68.4,,,,,,,
11769,Cameroon,2005,70.7,,,,,,,
12589,Cameroon,2010,79,,,,,,,
5499,Canada,1900,82.9,,,,,,,
6047,Canada,1910,89,,,,,,,
6601,Canada,1920,94.2999999999999,,,,,,,
7228,Canada,1930,95.7,,,,,,,
8575,Canada,1950,97.5,,,,,,,
4274,Canada,1960,98,,,,,,,
19,Canada,1970,98,,,,,,,
1404,Canada,1980,98.5,,,,,,,
2851,Canada,1990,99,,,,,,,
10950,Canada,2000,99,,,,,,,
12590,Canada,2010,99,,,,,,,
19686,Central African Republic,1950,7.5,,,,,,,
4275,Central African Republic,1960,2.1,,,,,,,
695,Central African Republic,1975,18.1999999999999,,,,,,,
1405,Central African Republic,1980,33,,,,,,,
2852,Central African Republic,1990,33.6,,,,,,,
3631,Central African Republic,1995,60,,,,,,,
10951,Central African Republic,2000,50.6,,,,,,,
12591,Central African Republic,2010,56,,,,,,,
19696,Chad,1950,3,,,,,,,
4869,Chad,1965,5.6,,,,,,,
1406,Chad,1980,32.7,,,,,,,
2853,Chad,1990,42.7,,,,,,,
3632,Chad,1995,48.1,,,,,,,
10952,Chad,2000,53.5,,,,,,,
12592,Chad,2010,63.6,,,,,,,
5770,Chile,1905,51.1,,,,,,,
6602,Chile,1920,64,,,,,,,
7229,Chile,1930,75.5999999999999,,,,,,,
7881,Chile,1940,72.9,,,,,,,
8576,Chile,1950,80.0999999999999,,,,,,,
4277,Chile,1960,83.5999999999999,,,,,,,
22,Chile,1970,89,,,,,,,
1407,Chile,1980,91.0999999999999,,,,,,,
2854,Chile,1990,94.2999999999999,,,,,,,
3633,Chile,1995,95.2,,,,,,,
10953,Chile,2000,95.7,,,,,,,
12593,Chile,2010,98.5999999999999,,,,,,,
8577,China,1950,47.5,,,,,,,
1408,China,1980,65.5,,,,,,,
2855,China,1990,77.7999999999999,,,,,,,
3634,China,1995,81.5,,,,,,,
10954,China,2000,90.9,,,,,,,
12594,China,2010,94.2999999999999,,,,,,,
6604,Colombia,1920,42.3999999999999,,,,,,,
7231,Colombia,1930,51.6,,,,,,,
7883,Colombia,1940,55.7999999999999,,,,,,,
8578,Colombia,1950,52.5,,,,,,,
8992,Colombia,1955,62.2999999999999,,,,,,,
4279,Colombia,1960,62.5,,,,,,,
4872,Colombia,1965,62.8999999999999,,,,,,,
699,Colombia,1975,81.7999999999999,,,,,,,
1409,Colombia,1980,86.9,,,,,,,
2856,Colombia,1990,89.5999999999999,,,,,,,
3635,Colombia,1995,91.2,,,,,,,
10955,Colombia,2000,92.5999999999999,,,,,,,
11775,Colombia,2005,92.2999999999999,,,,,,,
12595,Colombia,2010,93.4,,,,,,,
19708,Comoros,1965,58.3999999999999,,,,,,,
1410,Comoros,1980,47.8999999999999,,,,,,,
2857,Comoros,1990,54.3999999999999,,,,,,,
3636,Comoros,1995,57.2999999999999,,,,,,,
10956,Comoros,2000,60.2999999999999,,,,,,,
12596,Comoros,2010,65.7999999999999,,,,,,,
19724,Congo,1960,15.6,,,,,,,
1411,Congo,1980,51.5,,,,,,,
2858,Congo,1990,67.7999999999999,,,,,,,
3637,Congo,1995,74.9,,,,,,,
10957,Congo,2000,81,,,,,,,
11777,Congo,2005,83.7999999999999,,,,,,,
12597,Congo,2010,90.0999999999999,,,,,,,
6917,Costa Rica,1925,65.7,,,,,,,
8579,Costa Rica,1950,79.4,,,,,,,
4874,Costa Rica,1965,84,,,,,,,
