BMR-Polity,Dem-Dem,Dem-An,Dem-Aut,Aut-Dem,Aut-An,Aut-Aut
Countries,"Switzerland, Netherlands, Australia, Greece, Venezuela, Costa Rica, Turkey, Thailand, Bulgaria","Argentina, Chile, Austria, Guatemala, Italy, Ecuador",,"Spain, Cyprus","Mexico, Honduras, Belgium, Paraguay, Brazil, Peru, Uruguay, Panama, Bolivia, Singapore, Dominican Republic, Fiji",Egypt
Count,9,6,0,2,12,1
Share,30%,20%,0%,7%,40%,3%
